Casemix,APCD,BSAS,PMP,Matris,Death,year,N_ID
0,0,0,0,0,1,2015,658
0,0,0,0,0,1,2016,770
0,0,0,0,0,1,2017,725
0,0,0,0,0,1,2018,759
0,0,0,0,0,1,2019,750
0,0,0,0,0,1,2020,895
0,0,0,0,0,1,2021,978
0,0,0,0,1,0,2015,2167
0,0,0,0,1,0,2016,2359
0,0,0,0,1,0,2017,2796
0,0,0,0,1,0,2018,2872
0,0,0,0,1,0,2019,2650
0,0,0,0,1,0,2020,2870
0,0,0,0,1,0,2021,3254
0,0,0,0,1,1,2015,121
0,0,0,0,1,1,2016,141
0,0,0,0,1,1,2017,154
0,0,0,0,1,1,2018,174
0,0,0,0,1,1,2019,129
0,0,0,0,1,1,2020,174
0,0,0,0,1,1,2021,205
0,0,0,1,0,0,2015,2987
0,0,0,1,0,0,2016,4224
0,0,0,1,0,0,2017,5032
0,0,0,1,0,0,2018,5674
0,0,0,1,0,0,2019,6253
0,0,0,1,0,0,2020,6841
0,0,0,1,0,0,2021,6753
0,0,0,1,0,1,2015,-1
0,0,0,1,0,1,2016,20
0,0,0,1,0,1,2017,13
0,0,0,1,0,1,2018,-1
0,0,0,1,0,1,2019,-1
0,0,0,1,0,1,2020,15
0,0,0,1,0,1,2021,19
0,0,0,1,1,0,2015,22
0,0,0,1,1,0,2016,43
0,0,0,1,1,0,2017,65
0,0,0,1,1,0,2018,71
0,0,0,1,1,0,2019,70
0,0,0,1,1,0,2020,91
0,0,0,1,1,0,2021,100
0,0,0,1,1,1,2015,-1
0,0,0,1,1,1,2016,-1
0,0,0,1,1,1,2017,-1
0,0,0,1,1,1,2018,-1
0,0,0,1,1,1,2019,-1
0,0,0,1,1,1,2020,-1
0,0,0,1,1,1,2021,12
0,0,1,0,0,0,2015,5985
0,0,1,0,0,0,2016,5405
0,0,1,0,0,0,2017,4678
0,0,1,0,0,0,2018,4418
0,0,1,0,0,0,2019,3815
0,0,1,0,0,0,2020,3088
0,0,1,0,0,0,2021,2933
0,0,1,0,0,1,2015,28
0,0,1,0,0,1,2016,24
0,0,1,0,0,1,2017,25
0,0,1,0,0,1,2018,-1
0,0,1,0,0,1,2019,17
0,0,1,0,0,1,2020,-1
0,0,1,0,0,1,2021,13
0,0,1,0,1,0,2015,118
0,0,1,0,1,0,2016,125
0,0,1,0,1,0,2017,133
0,0,1,0,1,0,2018,149
0,0,1,0,1,0,2019,109
0,0,1,0,1,0,2020,105
0,0,1,0,1,0,2021,99
0,0,1,0,1,1,2015,-1
0,0,1,0,1,1,2016,-1
0,0,1,0,1,1,2017,-1
0,0,1,0,1,1,2018,13
0,0,1,0,1,1,2019,-1
0,0,1,0,1,1,2020,-1
0,0,1,0,1,1,2021,-1
0,0,1,1,0,0,2015,157
0,0,1,1,0,0,2016,212
0,0,1,1,0,0,2017,229
0,0,1,1,0,0,2018,299
0,0,1,1,0,0,2019,296
0,0,1,1,0,0,2020,306
0,0,1,1,0,0,2021,250
0,0,1,1,0,1,2018,-1
0,0,1,1,0,1,2019,-1
0,0,1,1,0,1,2020,-1
0,0,1,1,1,0,2015,11
0,0,1,1,1,0,2016,17
0,0,1,1,1,0,2017,19
0,0,1,1,1,0,2018,23
0,0,1,1,1,0,2019,26
0,0,1,1,1,0,2020,29
0,0,1,1,1,0,2021,33
0,0,1,1,1,1,2016,-1
0,0,1,1,1,1,2020,-1
0,1,0,0,0,0,2015,43929
0,1,0,0,0,0,2016,43036
0,1,0,0,0,0,2017,45716
0,1,0,0,0,0,2018,45064
0,1,0,0,0,0,2019,46532
0,1,0,0,0,0,2020,44643
0,1,0,0,0,0,2021,46333
0,1,0,0,0,1,2015,233
0,1,0,0,0,1,2016,240
0,1,0,0,0,1,2017,216
0,1,0,0,0,1,2018,223
0,1,0,0,0,1,2019,255
0,1,0,0,0,1,2020,248
0,1,0,0,0,1,2021,246
0,1,0,0,1,0,2015,1237
0,1,0,0,1,0,2016,1451
0,1,0,0,1,0,2017,1657
0,1,0,0,1,0,2018,1632
0,1,0,0,1,0,2019,1576
0,1,0,0,1,0,2020,1704
0,1,0,0,1,0,2021,2063
0,1,0,0,1,1,2015,89
0,1,0,0,1,1,2016,122
0,1,0,0,1,1,2017,123
0,1,0,0,1,1,2018,137
0,1,0,0,1,1,2019,142
0,1,0,0,1,1,2020,149
0,1,0,0,1,1,2021,166
0,1,0,1,0,0,2015,27505
0,1,0,1,0,0,2016,28173
0,1,0,1,0,0,2017,28988
0,1,0,1,0,0,2018,29851
0,1,0,1,0,0,2019,30826
0,1,0,1,0,0,2020,31183
0,1,0,1,0,0,2021,32012
0,1,0,1,0,1,2015,84
0,1,0,1,0,1,2016,94
0,1,0,1,0,1,2017,108
0,1,0,1,0,1,2018,116
0,1,0,1,0,1,2019,126
0,1,0,1,0,1,2020,112
0,1,0,1,0,1,2021,147
0,1,0,1,1,0,2015,399
0,1,0,1,1,0,2016,438
0,1,0,1,1,0,2017,547
0,1,0,1,1,0,2018,639
0,1,0,1,1,0,2019,666
0,1,0,1,1,0,2020,754
0,1,0,1,1,0,2021,871
0,1,0,1,1,1,2015,39
0,1,0,1,1,1,2016,43
0,1,0,1,1,1,2017,45
0,1,0,1,1,1,2018,53
0,1,0,1,1,1,2019,45
0,1,0,1,1,1,2020,52
0,1,0,1,1,1,2021,59
0,1,1,0,0,0,2015,11416
0,1,1,0,0,0,2016,11179
0,1,1,0,0,0,2017,11045
0,1,1,0,0,0,2018,9704
0,1,1,0,0,0,2019,9119
0,1,1,0,0,0,2020,7781
0,1,1,0,0,0,2021,8187
0,1,1,0,0,1,2015,79
0,1,1,0,0,1,2016,111
0,1,1,0,0,1,2017,75
0,1,1,0,0,1,2018,70
0,1,1,0,0,1,2019,98
0,1,1,0,0,1,2020,60
0,1,1,0,0,1,2021,64
0,1,1,0,1,0,2015,794
