fod,year,month,final_re,N_ID
0,2013,1,1,443
0,2013,1,2,26
0,2013,1,3,-1
0,2013,1,4,47
0,2013,1,5,-1
0,2013,2,1,402
0,2013,2,2,14
0,2013,2,3,-1
0,2013,2,4,35
0,2013,2,5,-1
0,2013,3,1,526
0,2013,3,2,21
0,2013,3,3,-1
0,2013,3,4,44
0,2013,3,5,-1
0,2013,4,1,520
0,2013,4,2,19
0,2013,4,3,-1
0,2013,4,4,47
0,2013,4,5,-1
0,2013,5,1,534
0,2013,5,2,33
0,2013,5,3,-1
0,2013,5,4,61
0,2013,5,5,-1
0,2013,6,1,568
0,2013,6,2,29
0,2013,6,3,-1
0,2013,6,4,48
0,2013,6,5,-1
0,2013,7,1,627
0,2013,7,2,34
0,2013,7,3,-1
0,2013,7,4,52
0,2013,7,5,-1
0,2013,8,1,647
0,2013,8,2,34
0,2013,8,3,-1
0,2013,8,4,66
0,2013,8,5,-1
0,2013,9,1,576
0,2013,9,2,33
0,2013,9,3,-1
0,2013,9,4,47
0,2013,9,5,-1
0,2013,10,1,594
0,2013,10,2,28
0,2013,10,3,-1
0,2013,10,4,60
0,2013,10,5,-1
0,2013,11,1,474
0,2013,11,2,24
0,2013,11,3,-1
0,2013,11,4,38
0,2013,11,5,-1
0,2013,12,1,509
0,2013,12,2,21
0,2013,12,3,-1
0,2013,12,4,38
0,2013,12,5,-1
0,2014,1,1,668
0,2014,1,2,51
0,2014,1,3,-1
0,2014,1,4,61
0,2014,1,5,-1
0,2014,2,1,673
0,2014,2,2,35
0,2014,2,3,-1
0,2014,2,4,50
0,2014,2,5,-1
0,2014,3,1,708
0,2014,3,2,45
0,2014,3,3,-1
0,2014,3,4,64
0,2014,3,5,-1
0,2014,4,1,613
0,2014,4,2,37
0,2014,4,3,-1
0,2014,4,4,56
0,2014,4,5,-1
0,2014,5,1,725
0,2014,5,2,38
0,2014,5,3,-1
0,2014,5,4,74
0,2014,5,5,-1
0,2014,6,1,895
0,2014,6,2,40
0,2014,6,3,-1
0,2014,6,4,80
0,2014,6,5,-1
0,2014,7,1,752
0,2014,7,2,38
0,2014,7,3,-1
0,2014,7,4,75
0,2014,7,5,-1
0,2014,8,1,729
0,2014,8,2,42
0,2014,8,3,-1
0,2014,8,4,104
0,2014,8,5,-1
0,2014,9,1,862
0,2014,9,2,41
0,2014,9,3,-1
0,2014,9,4,83
0,2014,9,5,-1
0,2014,10,1,899
0,2014,10,2,50
0,2014,10,3,-1
0,2014,10,4,89
0,2014,10,5,-1
0,2014,11,1,797
0,2014,11,2,38
0,2014,11,3,-1
0,2014,11,4,84
0,2014,11,5,-1
0,2014,12,1,1155
0,2014,12,2,68
0,2014,12,3,-1
0,2014,12,4,112
0,2014,12,5,13
0,2015,1,1,1049
0,2015,1,2,54
0,2015,1,3,-1
0,2015,1,4,126
0,2015,1,5,16
0,2015,2,1,806
0,2015,2,2,37
0,2015,2,3,-1
0,2015,2,4,67
0,2015,2,5,-1
0,2015,3,1,951
0,2015,3,2,45
0,2015,3,3,-1
0,2015,3,4,94
0,2015,3,5,13
0,2015,4,1,869
0,2015,4,2,53
0,2015,4,3,-1
0,2015,4,4,95
0,2015,4,5,12
0,2015,5,1,950
0,2015,5,2,63
0,2015,5,3,-1
0,2015,5,4,93
0,2015,5,5,-1
0,2015,6,1,894
0,2015,6,2,50
0,2015,6,3,-1
0,2015,6,4,80
0,2015,6,5,-1
0,2015,7,1,991
0,2015,7,2,62
0,2015,7,3,-1
0,2015,7,4,88
0,2015,7,5,-1
0,2015,8,1,961
0,2015,8,2,55
0,2015,8,3,-1
0,2015,8,4,128
0,2015,8,5,13
0,2015,9,1,1080
0,2015,9,2,77
0,2015,9,3,-1
0,2015,9,4,131
0,2015,9,5,11
0,2015,10,1,1166
0,2015,10,2,81
0,2015,10,3,-1
0,2015,10,4,168
0,2015,10,5,15
0,2015,11,1,959
0,2015,11,2,62
0,2015,11,3,-1
0,2015,11,4,116
0,2015,11,5,-1
0,2015,12,1,811
0,2015,12,2,47
0,2015,12,3,-1
0,2015,12,4,137
0,2015,12,5,-1
0,2016,1,1,847
0,2016,1,2,47
0,2016,1,3,-1
0,2016,1,4,122
0,2016,1,5,-1
0,2016,2,1,1045
0,2016,2,2,73
0,2016,2,3,-1
0,2016,2,4,126
0,2016,2,5,-1
0,2016,3,1,1113
0,2016,3,2,59
0,2016,3,3,-1
0,2016,3,4,144
0,2016,3,5,-1
0,2016,4,1,1276
0,2016,4,2,81
0,2016,4,3,-1
0,2016,4,4,167
0,2016,4,5,11
0,2016,5,1,1188
0,2016,5,2,72
0,2016,5,3,-1
0,2016,5,4,133
0,2016,5,5,-1
0,2016,6,1,1205
0,2016,6,2,74
0,2016,6,3,-1
0,2016,6,4,164
0,2016,6,5,12
0,2016,7,1,1167
0,2016,7,2,92
0,2016,7,3,-1
0,2016,7,4,140
0,2016,7,5,19
0,2016,8,1,1230
0,2016,8,2,81
0,2016,8,4,148
0,2016,8,5,13
0,2016,9,1,1285
0,2016,9,2,72
0,2016,9,3,-1
0,2016,9,4,160
0,2016,9,5,18
0,2016,10,1,1153
0,2016,10,2,58
0,2016,10,3,-1
0,2016,10,4,133
0,2016,10,5,-1
0,2016,11,1,1032
0,2016,11,2,72
0,2016,11,3,-1
0,2016,11,4,167
0,2016,11,5,13
0,2016,12,1,997
0,2016,12,2,68
0,2016,12,3,-1
0,2016,12,4,139
0,2016,12,5,12
0,2017,1,1,988
0,2017,1,2,67
0,2017,1,3,-1
0,2017,1,4,102
0,2017,1,5,16
0,2017,2,1,976
0,2017,2,2,72
0,2017,2,3,-1
0,2017,2,4,105
0,2017,2,5,-1
0,2017,3,1,923
0,2017,3,2,97
0,2017,3,3,-1
0,2017,3,4,128
0,2017,3,5,14
0,2017,4,1,979
0,2017,4,2,85
0,2017,4,3,-1
0,2017,4,4,124
0,2017,4,5,12
0,2017,5,1,1053
0,2017,5,2,83
0,2017,5,3,-1
0,2017,5,4,148
0,2017,5,5,16
0,2017,6,1,1147
0,2017,6,2,82
0,2017,6,3,-1
0,2017,6,4,163
0,2017,6,5,17
0,2017,7,1,1249
0,2017,7,2,78
0,2017,7,3,-1
0,2017,7,4,169
0,2017,7,5,12
0,2017,8,1,1350
0,2017,8,2,158
