age_grp_five,fod,year,month,N_ID
11,0,2013,1,521
13,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
11,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
9,0,2013,1,521
11,0,2013,1,521
12,0,2013,1,521
17,0,2013,1,521
8,0,2013,1,521
6,0,2013,1,521
12,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
8,0,2013,1,521
8,0,2013,1,521
12,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
11,0,2013,1,521
12,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
10,0,2013,1,521
5,0,2013,1,521
11,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
5,0,2013,1,521
10,0,2013,1,521
15,0,2013,1,521
8,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
12,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
12,0,2013,1,521
10,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
9,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
13,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
12,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
4,0,2013,1,521
6,0,2013,1,521
12,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
10,0,2013,1,521
11,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
14,0,2013,1,521
5,0,2013,1,521
3,0,2013,1,521
.,0,2013,1,521
13,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
12,0,2013,1,521
14,0,2013,1,521
13,0,2013,1,521
9,0,2013,1,521
18,0,2013,1,521
10,0,2013,1,521
4,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
1,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
13,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
4,0,2013,1,521
14,0,2013,1,521
4,0,2013,1,521
5,0,2013,1,521
12,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
12,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
13,0,2013,1,521
9,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
11,0,2013,1,521
13,0,2013,1,521
5,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
10,0,2013,1,521
12,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
8,0,2013,1,521
12,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
15,0,2013,1,521
4,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
15,0,2013,1,521
13,0,2013,1,521
7,0,2013,1,521
3,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
9,0,2013,1,521
8,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
12,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
11,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
13,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
14,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
11,0,2013,1,521
9,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
9,0,2013,1,521
9,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
12,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
13,0,2013,1,521
14,0,2013,1,521
5,0,2013,1,521
11,0,2013,1,521
10,0,2013,1,521
4,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
5,0,2013,1,521
14,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
10,0,2013,1,521
4,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
15,0,2013,1,521
7,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
19,0,2013,1,521
6,0,2013,1,521
9,0,2013,1,521
13,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
12,0,2013,1,521
7,0,2013,1,521
12,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
12,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
9,0,2013,1,521
9,0,2013,1,521
11,0,2013,1,521
19,0,2013,1,521
11,0,2013,1,521
14,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
8,0,2013,1,521
4,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
19,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
10,0,2013,1,521
12,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
9,0,2013,1,521
8,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
9,0,2013,1,521
18,0,2013,1,521
10,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
11,0,2013,1,521
14,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
14,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
4,0,2013,1,521
12,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
1,0,2013,1,521
.,0,2013,1,521
13,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
12,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
8,0,2013,1,521
11,0,2013,1,521
5,0,2013,1,521
10,0,2013,1,521
5,0,2013,1,521
16,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
11,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
4,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
16,0,2013,1,521
6,0,2013,1,521
7,0,2013,1,521
14,0,2013,1,521
10,0,2013,1,521
9,0,2013,1,521
7,0,2013,1,521
14,0,2013,1,521
4,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
14,0,2013,1,521
11,0,2013,1,521
10,0,2013,1,521
4,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
15,0,2013,1,521
7,0,2013,1,521
8,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
8,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
17,0,2013,1,521
5,0,2013,1,521
.,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
8,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
11,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
12,0,2013,1,521
8,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
8,0,2013,1,521
8,0,2013,1,521
8,0,2013,1,521
7,0,2013,1,521
13,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
14,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
13,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
.,0,2013,1,521
11,0,2013,1,521
11,0,2013,1,521
15,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
10,0,2013,1,521
7,0,2013,1,521
8,0,2013,1,521
8,0,2013,1,521
4,0,2013,1,521
4,0,2013,1,521
8,0,2013,1,521
12,0,2013,1,521
7,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
8,0,2013,1,521
8,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
10,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
12,0,2013,1,521
7,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
6,0,2013,1,521
11,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
9,0,2013,1,521
11,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
6,0,2013,1,521
8,0,2013,1,521
8,0,2013,1,521
.,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
17,0,2013,1,521
8,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
8,0,2013,1,521
6,0,2013,1,521
4,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
15,0,2013,1,521
7,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
9,0,2013,1,521
6,0,2013,1,521
12,0,2013,1,521
7,0,2013,1,521
6,0,2013,1,521
16,0,2013,1,521
8,0,2013,1,521
12,0,2013,1,521
.,0,2013,1,521
7,0,2013,1,521
8,0,2013,1,521
4,0,2013,1,521
5,0,2013,1,521
7,0,2013,1,521
5,0,2013,1,521
10,0,2013,1,521
10,0,2013,1,521
12,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
11,0,2013,1,521
10,0,2013,1,521
8,0,2013,1,521
7,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
12,0,2013,1,521
5,0,2013,1,521
8,0,2013,1,521
12,0,2013,1,521
10,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
5,0,2013,1,521
8,0,2013,1,521
6,0,2013,1,521
5,0,2013,1,521
12,0,2013,1,521
11,0,2013,1,521
6,0,2013,1,521
3,0,2013,1,521
12,0,2013,1,521
8,0,2013,1,521
7,0,2013,1,521
3,0,2013,1,521
5,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
10,0,2013,2,454
5,0,2013,2,454
9,0,2013,2,454
5,0,2013,2,454
6,0,2013,2,454
13,0,2013,2,454
6,0,2013,2,454
12,0,2013,2,454
7,0,2013,2,454
11,0,2013,2,454
8,0,2013,2,454
7,0,2013,2,454
9,0,2013,2,454
5,0,2013,2,454
11,0,2013,2,454
12,0,2013,2,454
10,0,2013,2,454
12,0,2013,2,454
8,0,2013,2,454
5,0,2013,2,454
10,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
8,0,2013,2,454
7,0,2013,2,454
9,0,2013,2,454
8,0,2013,2,454
8,0,2013,2,454
12,0,2013,2,454
6,0,2013,2,454
4,0,2013,2,454
8,0,2013,2,454
10,0,2013,2,454
8,0,2013,2,454
17,0,2013,2,454
11,0,2013,2,454
7,0,2013,2,454
6,0,2013,2,454
8,0,2013,2,454
14,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
7,0,2013,2,454
9,0,2013,2,454
11,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
12,0,2013,2,454
10,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
7,0,2013,2,454
4,0,2013,2,454
8,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
12,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
7,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
8,0,2013,2,454
7,0,2013,2,454
8,0,2013,2,454
14,0,2013,2,454
8,0,2013,2,454
13,0,2013,2,454
7,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
14,0,2013,2,454
9,0,2013,2,454
6,0,2013,2,454
8,0,2013,2,454
7,0,2013,2,454
6,0,2013,2,454
7,0,2013,2,454
12,0,2013,2,454
14,0,2013,2,454
5,0,2013,2,454
8,0,2013,2,454
12,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
6,0,2013,2,454
10,0,2013,2,454
10,0,2013,2,454
13,0,2013,2,454
4,0,2013,2,454
11,0,2013,2,454
8,0,2013,2,454
13,0,2013,2,454
6,0,2013,2,454
13,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
8,0,2013,2,454
9,0,2013,2,454
5,0,2013,2,454
9,0,2013,2,454
11,0,2013,2,454
7,0,2013,2,454
7,0,2013,2,454
11,0,2013,2,454
5,0,2013,2,454
13,0,2013,2,454
7,0,2013,2,454
17,0,2013,2,454
9,0,2013,2,454
9,0,2013,2,454
6,0,2013,2,454
11,0,2013,2,454
5,0,2013,2,454
18,0,2013,2,454
9,0,2013,2,454
12,0,2013,2,454
9,0,2013,2,454
12,0,2013,2,454
10,0,2013,2,454
10,0,2013,2,454
12,0,2013,2,454
17,0,2013,2,454
7,0,2013,2,454
5,0,2013,2,454
4,0,2013,2,454
7,0,2013,2,454
6,0,2013,2,454
12,0,2013,2,454
6,0,2013,2,454
4,0,2013,2,454
5,0,2013,2,454
15,0,2013,2,454
13,0,2013,2,454
10,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
11,0,2013,2,454
5,0,2013,2,454
7,0,2013,2,454
12,0,2013,2,454
13,0,2013,2,454
12,0,2013,2,454
14,0,2013,2,454
10,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
7,0,2013,2,454
11,0,2013,2,454
10,0,2013,2,454
8,0,2013,2,454
5,0,2013,2,454
11,0,2013,2,454
5,0,2013,2,454
7,0,2013,2,454
13,0,2013,2,454
5,0,2013,2,454
6,0,2013,2,454
9,0,2013,2,454
9,0,2013,2,454
5,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
11,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
6,0,2013,2,454
11,0,2013,2,454
13,0,2013,2,454
18,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
15,0,2013,2,454
9,0,2013,2,454
11,0,2013,2,454
6,0,2013,2,454
9,0,2013,2,454
10,0,2013,2,454
8,0,2013,2,454
13,0,2013,2,454
7,0,2013,2,454
10,0,2013,2,454
5,0,2013,2,454
7,0,2013,2,454
7,0,2013,2,454
10,0,2013,2,454
5,0,2013,2,454
7,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
10,0,2013,2,454
8,0,2013,2,454
5,0,2013,2,454
8,0,2013,2,454
7,0,2013,2,454
9,0,2013,2,454
9,0,2013,2,454
5,0,2013,2,454
13,0,2013,2,454
9,0,2013,2,454
10,0,2013,2,454
10,0,2013,2,454
13,0,2013,2,454
6,0,2013,2,454
16,0,2013,2,454
5,0,2013,2,454
9,0,2013,2,454
6,0,2013,2,454
8,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
9,0,2013,2,454
5,0,2013,2,454
9,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
12,0,2013,2,454
6,0,2013,2,454
14,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
7,0,2013,2,454
7,0,2013,2,454
5,0,2013,2,454
3,0,2013,2,454
10,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
7,0,2013,2,454
9,0,2013,2,454
5,0,2013,2,454
11,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
8,0,2013,2,454
12,0,2013,2,454
9,0,2013,2,454
8,0,2013,2,454
13,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
10,0,2013,2,454
8,0,2013,2,454
10,0,2013,2,454
11,0,2013,2,454
8,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
5,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
6,0,2013,2,454
10,0,2013,2,454
11,0,2013,2,454
13,0,2013,2,454
7,0,2013,2,454
7,0,2013,2,454
11,0,2013,2,454
8,0,2013,2,454
6,0,2013,2,454
7,0,2013,2,454
9,0,2013,2,454
15,0,2013,2,454
6,0,2013,2,454
5,0,2013,2,454
1,0,2013,2,454
10,0,2013,2,454
6,0,2013,2,454
11,0,2013,2,454
6,0,2013,2,454
