"Run","Model","Formula","AIC","Estimate","LowerCI","UpperCI","GroundTruth","Group","Method"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",438.402160853148,9122.58600253038,8955.34822216471,9292.20952990323,9237,"1","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",208.999747663736,578.923746268408,536.276983814028,624.145488217467,518,"2","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",213.126395374537,544.832010209727,504.730723481133,587.301747099177,565,"3","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_4 + capture_2:capture_3",310.058918833733,1720.06476154292,1646.92309934513,1795.66858286253,1762,"4","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",130.077590063214,91.5815976315637,74.2040278634008,111.829742869159,123,"5","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",438.402160853148,9122.58600253038,8955.34822216471,9292.20952990323,9237,"1","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",208.999747663736,578.923746268408,536.276983814028,624.145488217467,518,"2","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",213.126395374537,544.832010209727,504.730723481133,587.301747099177,565,"3","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_4 + capture_2:capture_3",310.058918833733,1720.06476154292,1646.92309934513,1795.66858286253,1762,"4","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",130.077590063214,91.5815976315637,74.2040278634008,111.829742869159,123,"5","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",438.402160853148,9122.58600253038,8955.34822216471,9292.20952990323,9237,"1","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",211.492827638984,570.825139190959,529.348495668097,614.728309501643,518,"2","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",213.126395374537,544.832010209727,504.730723481133,587.301747099177,565,"3","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",316.814445257187,1739.47932835112,1666.75945735291,1814.6059004886,1762,"4","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",132.465060889721,96.2462780882886,79.177058557724,115.910513221319,123,"5","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",438.402160853148,9122.58600253038,8955.34822216471,9292.20952990323,9237,"1","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",211.492827638984,570.825139190959,529.348495668097,614.728309501643,518,"2","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",213.126395374537,544.832010209727,504.730723481133,587.301747099177,565,"3","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",316.814445257187,1739.47932835112,1666.75945735291,1814.6059004886,1762,"4","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",132.465060889721,96.2462780882886,79.177058557724,115.910513221319,123,"5","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",438.402160853148,9122.58600253038,8955.34822216471,9292.20952990323,9237,"1","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",208.999747663736,578.923746268408,536.276983814028,624.145488217467,518,"2","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",213.126395374537,544.832010209727,504.730723481133,587.301747099177,565,"3","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_4 + capture_2:capture_3",310.058918833733,1720.06476154292,1646.92309934513,1795.66858286253,1762,"4","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",130.077590063214,91.5815976315637,74.2040278634008,111.829742869159,123,"5","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",438.402160853148,9122.58600253038,8955.34822216471,9292.20952990323,9237,"1","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",208.999747663736,578.923746268408,536.276983814028,624.145488217467,518,"2","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",213.126395374537,544.832010209727,504.730723481133,587.301747099177,565,"3","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_4 + capture_2:capture_3",310.058918833733,1720.06476154292,1646.92309934513,1795.66858286253,1762,"4","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",130.077590063214,91.5815976315637,74.2040278634008,111.829742869159,123,"5","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",436.391270149887,9122.89287672249,8955.78484021781,9292.37949624994,9237,"1","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",206.99746825997,578.924556820364,536.280730307621,624.142912422629,518,"2","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",211.125160380868,544.826206334948,504.728361743394,587.292065783693,565,"3","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_4 + capture_2:capture_3",308.051893852449,1720.08678293777,1646.96066307038,1795.67313762319,1762,"4","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",128.076754627619,91.58245347366,74.205106716193,111.830737490332,123,"5","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",436.391270149887,9122.89287672249,8955.78484021781,9292.37949624994,9237,"1","Poisson"
