"iteration","year","sex","estimate","ui","li","N_ID","total_est","total_ui","total_li"
1,2015,"male",77064.5743335021,83120.3056908783,71499.0907465349,70188,147252.574333502,153308.305690878,141687.090746535
1,2016,"male",69776.8568698862,74709.2567169693,65206.5707338497,72772,142548.856869886,147481.256716969,137978.57073385
1,2017,"male",75271.9037520118,80548.6305163395,70376.8621065207,74562,149833.903752012,155110.630516339,144938.862106521
1,2018,"male",74430.135710924,79429.2915970003,69776.9955021222,74112,148542.135710924,153541.291597,143888.995502122
1,2019,"male",83410.5318335559,89755.7844407709,77569.5383054051,74988,158398.531833556,164743.784440771,152557.538305405
1,2020,"male",76343.1574106559,81837.6323322133,71259.555389273,72176,148519.157410656,154013.632332213,143435.555389273
1,2021,"male",87889.0995322604,94683.890409801,81644.7271052834,73301,161190.09953226,167984.890409801,154945.727105283
1,2015,"female",43749.2498175692,49217.5399170774,38955.5205148443,46027,89776.2498175692,95244.5399170774,84982.5205148443
1,2016,"female",47700.0317784489,53564.1306512308,42557.8491864135,47071,94771.0317784489,100635.130651231,89628.8491864135
1,2017,"female",47373.3004199699,53137.3533532461,42303.5979378489,48862,96235.3004199699,101999.353353246,91165.5979378489
1,2018,"female",45188.1816485405,50423.2505815595,40557.2385636025,48517,93705.1816485405,98940.2505815595,89074.2385636025
1,2019,"female",44161.8160523736,49604.5879828262,39379.8195896351,49059,93220.8160523736,98663.5879828262,88438.8195896351
1,2020,"female",43952.0414400339,49638.3657387013,38992.3491203001,46961,90913.0414400339,96599.3657387013,85953.3491203001
1,2021,"female",46894.3490303913,53195.8730106778,41428.587225927,47692,94586.3490303913,100887.873010678,89120.587225927
2,2015,"male",74054.834311076,79784.394522015,68780.4697877851,70188,144242.834311076,149972.394522015,138968.469787785
2,2016,"male",68284.699172818,73069.6597301849,63847.3614559259,72772,141056.699172818,145841.659730185,136619.361455926
2,2017,"male",74214.7145438964,79384.5354358123,69416.0144594836,74562,148776.714543896,153946.535435812,143978.014459484
2,2018,"male",72978.2497601861,77835.3627457926,68453.6225299725,74112,147090.249760186,151947.362745793,142565.622529972
2,2019,"male",76837.9839333267,82087.5681864896,71960.7096562169,74988,151825.983933327,157075.56818649,146948.709656217
2,2020,"male",70716.4303913581,76033.0859219347,65811.7523857375,72176,142892.430391358,148209.085921935,137987.752385737
2,2021,"male",81322.4237558968,88021.884007043,75196.7341257345,73301,154623.423755897,161322.884007043,148497.734125734
2,2015,"female",40229.2035066453,45081.446805071,35951.0785059432,46027,86256.2035066453,91108.446805071,81978.0785059432
2,2016,"female",41130.9404587257,46419.8724620498,36525.8724285242,47071,88201.9404587257,93490.8724620498,83596.8724285242
2,2017,"female",43024.3714819116,48033.2787051483,38588.7971815709,48862,91886.3714819116,96895.2787051483,87450.7971815709
2,2018,"female",41514.7326212631,46159.0465087463,37385.4648345417,48517,90031.7326212631,94676.0465087463,85902.4648345417
2,2019,"female",40603.8654857564,45428.1872960131,36342.2155367492,49059,89662.8654857564,94487.1872960131,85401.2155367492
2,2020,"female",39681.3206765727,44592.4814187606,35368.351388375,46961,86642.3206765727,91553.4814187606,82329.351388375
2,2021,"female",40197.2590720145,45943.8314680809,35260.2774458125,47692,87889.2590720145,93635.8314680809,82952.2774458125
3,2015,"male",71276.9253444257,76711.2367415032,66266.7116899946,70188,141464.925344426,146899.236741503,136454.711689995
3,2016,"male",66859.554188402,71505.1904170645,62547.9983271979,72772,139631.554188402,144277.190417065,135319.998327198
3,2017,"male",73188.5495411974,78255.5000806385,68482.6417099521,74562,147750.549541197,152817.500080638,143044.641709952
3,2018,"male",69813.0736658306,74643.0066760674,65325.2088593127,74112,143925.073665831,148755.006676067,139437.208859313
3,2019,"male",74508.9313849733,79536.4495678867,69832.6859753859,74988,149496.931384973,154524.449567887,144820.685975386
3,2020,"male",67016.2168023641,71940.9230559752,62463.5491261635,72176,139192.216802364,144116.923055975,134639.549126164
3,2021,"male",77902.6502836358,84198.1600325189,72134.9922255028,73301,151203.650283636,157499.160032519,145435.992225503
3,2015,"female",35663.084594,40181.0768798222,31709.4785334851,46027,81690.084594,86208.0768798222,77736.4785334851
3,2016,"female",35935.6645536892,40313.9302508807,32091.9250546595,47071,83006.6645536892,87384.9302508807,79162.9250546595
3,2017,"female",37106.3479725628,41666.379433429,33101.1029373404,48862,85968.3479725628,90528.379433429,81963.1029373404
3,2018,"female",35658.1599997161,39779.7434448007,32008.3869421603,48517,84175.1599997161,88296.7434448007,80525.3869421603
3,2019,"female",37831.6701611353,42192.9987820774,33962.166304889,49059,86890.6701611353,91251.9987820774,83021.166304889
3,2020,"female",33590.9684818473,38022.001130413,29733.5302333287,46961,80551.9684818473,84983.001130413,76694.5302333287
3,2021,"female",34703.1038793252,39417.2615687542,30618.5781921734,47692,82395.1038793252,87109.2615687542,78310.5781921734
4,2015,"male",76033.8300483309,81977.1228136425,70568.6203594221,70188,146221.830048331,152165.122813643,140756.620359422
4,2016,"male",69271.7416632898,74154.0525055608,64746.6034650979,72772,142043.74166329,146926.052505561,137518.603465098
4,2017,"male",74915.9801406438,80156.6095737764,70053.4583942499,74562,149477.980140644,154718.609573776,144615.45839425
4,2018,"male",73939.4006213461,78890.3329709707,69329.8708515845,74112,148051.400621346,153002.332970971,143441.870851585
