"Run","Model","Formula","AIC","Estimate","LowerCI","UpperCI","GroundTruth","Group","Method"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",478.122937053442,119883.058470838,118004.458291751,121793.195616708,120517,"1","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_1:capture_2",218.971658699214,7429.1953155441,6900.23666795753,8000.98517936542,7543,"2","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_4:capture_5",244.067886289209,7461.14043119868,6956.40421522936,8004.4638134041,7540,"3","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.387614428997,22195.4004723919,21383.5962248086,23039.3313525724,22616,"4","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",137.824895627797,1671.22292121178,1391.48304389861,2011.20335158887,1565,"5","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",478.122937053442,119883.058470838,118004.458291751,121793.195616708,120517,"1","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_1:capture_2",218.971658699214,7429.1953155441,6900.23666795753,8000.98517936542,7543,"2","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_4:capture_5",244.067886289209,7461.14043119868,6956.40421522936,8004.4638134041,7540,"3","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.387614428997,22195.4004723919,21383.5962248086,23039.3313525724,22616,"4","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",137.824895627797,1671.22292121178,1391.48304389861,2011.20335158887,1565,"5","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",478.122937053442,119883.058470838,118004.458291751,121793.195616708,120517,"1","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",228.914508529007,7497.97076127961,6989.44774999415,8045.17917108724,7543,"2","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",246.006336942315,7586.1491212816,7085.88036230783,8123.48436942688,7540,"3","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.387614428997,22195.4004723919,21383.5962248086,23039.3313525724,22616,"4","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",143.257915683091,1530.2335420073,1287.79304129331,1820.08118944302,1565,"5","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",478.122937053442,119883.058470838,118004.458291751,121793.195616708,120517,"1","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",228.914508529007,7497.97076127961,6989.44774999415,8045.17917108724,7543,"2","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",246.006336942315,7586.1491212816,7085.88036230783,8123.48436942688,7540,"3","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.387614428997,22195.4004723919,21383.5962248086,23039.3313525724,22616,"4","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",143.257915683091,1530.2335420073,1287.79304129331,1820.08118944302,1565,"5","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",478.122937053442,119883.058470838,118004.458291751,121793.195616708,120517,"1","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_1:capture_2",218.971658699214,7429.1953155441,6900.23666795753,8000.98517936542,7543,"2","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_4:capture_5",244.067886289209,7461.14043119868,6956.40421522936,8004.4638134041,7540,"3","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.387614428997,22195.4004723919,21383.5962248086,23039.3313525724,22616,"4","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",137.824895627797,1671.22292121178,1391.48304389861,2011.20335158887,1565,"5","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",478.122937053442,119883.058470838,118004.458291751,121793.195616708,120517,"1","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_1:capture_2",218.971658699214,7429.1953155441,6900.23666795753,8000.98517936542,7543,"2","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_4:capture_5",244.067886289209,7461.14043119868,6956.40421522936,8004.4638134041,7540,"3","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.387614428997,22195.4004723919,21383.5962248086,23039.3313525724,22616,"4","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",137.824895627797,1671.22292121178,1391.48304389861,2011.20335158887,1565,"5","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",476.109334379448,119883.236087093,118006.103219304,121791.857750741,120517,"1","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_1:capture_2",216.968322722106,7429.23957651341,6900.36564191462,8000.93067778082,7543,"2","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_4:capture_5",242.064698243655,7461.2085176966,6956.56824560978,8004.42055151815,7540,"3","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",312.383010968599,22195.4132158879,21383.7737398802,23039.1666898059,22616,"4","Poisson"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",135.824244393705,1671.22250269358,1391.4887954438,2011.19233356283,1565,"5","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",476.109334379448,119883.236087093,118006.103219304,121791.857750741,120517,"1","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_1:capture_2",216.968322722106,7429.23957651341,6900.36564191462,8000.93067778082,7543,"2","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_4:capture_5",242.064698243655,7461.2085176966,6956.56824560978,8004.42055151815,7540,"3","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",312.383010968599,22195.4132158879,21383.7737398802,23039.1666898059,22616,"4","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",135.824244393705,1671.22250269358,1391.4887954438,2011.19233356283,1565,"5","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",476.109334379448,119883.236087093,118006.103219304,121791.857750741,120517,"1","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",226.913154058054,7498.00518116989,6989.57498631239,8045.10593376146,7543,"2","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",244.003526620101,7586.20434853422,7086.02658694114,8123.4344202158,7540,"3","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",312.383010968599,22195.4132158879,21383.7737398802,23039.1666898059,22616,"4","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",141.257003905256,1530.23218435502,1287.80558764828,1820.06159693154,1565,"5","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",476.109334379448,119883.236087093,118006.103219304,121791.857750741,120517,"1","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",226.913154058054,7498.00518116989,6989.57498631239,8045.10593376146,7543,"2","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",244.003526620101,7586.20434853422,7086.02658694114,8123.4344202158,7540,"3","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",312.383010968599,22195.4132158879,21383.7737398802,23039.1666898059,22616,"4","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",141.257003905256,1530.23218435502,1287.80558764828,1820.06159693154,1565,"5","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",476.109334379448,119883.236087093,118006.103219304,121791.857750741,120517,"1","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_1:capture_2",216.968322722106,7429.23957651341,6900.36564191462,8000.93067778082,7543,"2","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_4:capture_5",242.064698243655,7461.2085176966,6956.56824560978,8004.42055151815,7540,"3","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",312.383010968599,22195.4132158879,21383.7737398802,23039.1666898059,22616,"4","Poisson"
