"Run","Model","Formula","AIC","Estimate","LowerCI","UpperCI","GroundTruth","Group","Method"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",482.14738073945,159743.96338476,157567.497053851,161952.141021539,159613,"base","NB"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",482.14738073945,159743.96338476,157567.497053851,161952.141021539,159613,"base","NB"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",482.14738073945,159743.96338476,157567.497053851,161952.141021539,159613,"base","NB"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",482.14738073945,159743.96338476,157567.497053851,161952.141021539,159613,"base","NB"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",482.14738073945,159743.96338476,157567.497053851,161952.141021539,159613,"base","NB"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",482.14738073945,159743.96338476,157567.497053851,161952.141021539,159613,"base","NB"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",480.131051922288,159743.374219492,157568.464345902,161949.951454554,159613,"base","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",480.131051922288,159743.374219492,157568.464345902,161949.951454554,159613,"base","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",480.131051922288,159743.374219492,157568.464345902,161949.951454554,159613,"base","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",480.131051922288,159743.374219492,157568.464345902,161949.951454554,159613,"base","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",480.131051922288,159743.374219492,157568.464345902,161949.951454554,159613,"base","Poisson"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",480.131051922288,159743.374219492,157568.464345902,161949.951454554,159613,"base","Poisson"
2,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_5",483.008572429419,158149.285652199,155929.38943223,160402.588376605,159416,"base","NB"
2,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_5",483.008572429419,158149.285652199,155929.38943223,160402.588376605,159416,"base","NB"
2,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",485.761210978031,158772.343771599,156613.114863475,160962.949088172,159416,"base","NB"
2,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",485.761210978031,158772.343771599,156613.114863475,160962.949088172,159416,"base","NB"
2,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_5",483.008572429419,158149.285652199,155929.38943223,160402.588376605,159416,"base","NB"
2,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_5",483.008572429419,158149.285652199,155929.38943223,160402.588376605,159416,"base","NB"
2,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_5",480.993613693764,158149.002729163,155930.961050239,160400.39730029,159416,"base","Poisson"
