"","run","aic","estimate","lower_ci","upper_ci","ground","group"
"1",1,444.0967520457,11814.8030433115,11623.5333920211,12008.5943449075,11911,"1"
"2",1,248.876559022984,1050.70941293633,994.361240303331,1109.5547257158,1061,"2"
"3",1,76.3064690902768,69.1110025879365,52.748716036397,89.0691821581548,62,"3"
"4",1,313.510573368706,1867.84628353849,1792.8480339886,1945.30387503624,1892,"4"
"5",1,141.455567191609,189.092273266362,164.671284821901,216.237168538492,199,"5"
"6",2,462.872666029228,11871.4041433294,11681.893221569,12063.3383603908,11947,"1"
"7",2,252.333628796302,966.390114469248,913.382608767119,1021.7857797326,999,"2"
"8",2,85.6258917291349,65.5558681372899,49.7291327208576,85.1868591866492,49,"3"
"9",2,327.868181469455,1885.6569385704,1809.96830592509,1963.82295535506,1796,"4"
"10",2,151.222868589896,217.401948942969,170.204661314616,273.639880137684,176,"5"
"11",3,462.058566159555,11934.7308972409,11744.4569605877,12127.4354723766,11878,"1"
"12",3,272.704820339766,1115.30390696019,1019.13680801642,1217.91181558714,971,"2"
"13",3,81.4301518397544,60.3697036189949,45.362006233224,79.1393895010507,56,"3"
"14",3,289.539220513827,1903.83934129449,1828.29719758128,1981.82877504038,1934,"4"
"15",3,137.056636989878,202.552748570271,176.420880095571,231.708116140708,184,"5"
"16",4,466.181628169723,11886.9853878792,11697.4759850251,12078.9149339161,11985,"1"
"17",4,256.260362332372,998.901681009377,944.024474608004,1056.25472040912,968,"2"
"18",4,87.456434465474,59.452046147242,44.7286138087293,77.5570719516834,54,"3"
"19",4,317.946498929001,1929.86388261515,1853.67191481326,2008.51410978355,1906,"4"
"20",4,144.585526710506,187.429579821945,160.41174638488,217.902871229962,167,"5"
"21",5,448.821332430439,11976.0565033652,11785.7512999635,12168.7866478528,12030,"1"
"22",5,266.242873904322,1049.91801655331,993.270537671906,1109.0882773234,993,"2"
"23",5,71.6678489796969,63.0371810187925,47.2777879556709,82.4745240692678,58,"3"
"24",5,309.228294984222,1849.29487441723,1773.37951787477,1927.80082961896,1828,"4"
"25",5,144.782638126704,178.357748339624,155.23423148113,204.102573823266,173,"5"
"26",6,464.647918860891,11740.5522385622,11519.9631317734,11964.3871865659,12033,"1"
"27",6,242.413575524763,997.590676932177,943.035500436322,1054.62373188267,1066,"2"
"28",6,87.5966775081606,70.7884946758477,55.8662535961198,88.690819241156,55,"3"
"29",6,299.118783017332,1743.4889183943,1625.07209741654,1868.02406790239,1815,"4"
"30",6,141.070750218079,159.734775659889,134.025253940863,189.077410540325,174,"5"
"31",7,469.476950904062,11789.762247409,11601.38544097,11980.5485015028,11800,"1"
"32",7,269.920576757291,1175.74241577615,1076.49540604658,1281.56585544347,989,"2"
"33",7,79.3728577004902,52.2708333333334,36.7338396524835,72.3002704589851,60,"3"
"34",7,307.128107935795,1909.23851363353,1833.00373707148,1987.95549526977,1882,"4"
"35",7,152.889550593157,157.773485429534,136.648809933903,181.332119011153,205,"5"
"36",8,453.41294196483,12049.8350369963,11826.2411132813,12276.6740351733,11866,"1"
"37",8,243.184093410389,1035.95626307716,980.343413773744,1094.03236697584,1011,"2"
"38",8,78.088810858766,59.6779768596758,44.7317468108102,78.1292494516704,66,"3"
"39",8,297.143182868787,1904.734508436,1828.78644834896,1983.15354432388,1815,"4"
"40",8,145.395592307149,171.45463539779,148.049501633526,197.622979414166,178,"5"
"41",9,439.819524067904,12105.7616777104,11881.0504276238,12333.7352056992,11932,"1"
"42",9,254.889236351429,998.315002748549,935.028927937426,1064.83772807567,1015,"2"
"43",9,78.3818028756076,78.3098684908472,46.9846029704696,123.014443567197,61,"3"
"44",9,305.127828223204,1918.29898291888,1840.93886485699,1998.20360564574,1882,"4"
"45",9,135.47166851569,192.23932831446,162.656009494801,225.847629843755,187,"5"
"46",10,450.93115827501,11891.1922021446,11701.1635277119,12083.6522134975,11902,"1"
"47",10,244.31441172335,1008.97178964437,953.411494815511,1067.06355122904,1004,"2"
"48",10,81.8342829324266,61.7205990787814,47.3396244634296,79.384848126978,57,"3"
"49",10,304.775490235888,1880.65326206695,1805.73179249193,1958.00686905627,1796,"4"
"50",10,148.39805333756,171.660197402703,148.71844992669,197.265953162615,172,"5"
"51",11,459.871509579131,11963.3428715527,11773.4517948181,12155.6508135571,11947,"1"
"52",11,253.475914604647,1060.84299064004,1003.594683137,1120.64189776798,971,"2"
"53",11,85.3955417863619,56.3254131298931,43.6375184216785,71.7450311209579,65,"3"
"54",11,301.518135278546,1739.92807047891,1621.39783661146,1864.58533068564,1919,"4"
"55",11,161.640403770226,184.68219148811,161.442014130525,210.472954326162,195,"5"
"56",12,458.809296440869,11781.3694506385,11592.8044426323,11972.3503673179,11849,"1"
"57",12,247.295857565057,1061.1350929358,999.508205040608,1125.69408824738,1029,"2"
"58",12,77.5493619577145,56.9677543193202,42.86906802691,74.4333470610604,77,"3"
"59",12,304.969750510087,1842.56977179439,1768.33777544881,1919.23281187782,1795,"4"
"60",12,146.275739274864,217.52543778158,174.344741898023,268.01744442315,177,"5"
"61",13,463.539397472759,11954.1684352003,11747.5151373012,12163.6526154368,11911,"1"
"62",13,249.768307564914,1055.14515033197,998.424962421998,1114.38769427869,997,"2"
"63",13,86.0983718874882,77.601774445734,59.0452493998391,100.603221374139,51,"3"
"64",13,302.619558549201,1860.80728395602,1785.49034424223,1938.60992858682,1854,"4"
"65",13,141.321197793325,178.745763903776,155.647652552554,204.448544705518,171,"5"
"66",14,442.758562129919,11991.0348193335,11798.304907732,12186.2681595894,11942,"1"
"67",14,247.322650936453,1018.17173271573,962.61782857922,1076.22915042482,1031,"2"
"68",14,80.6303933141812,67.6150705508645,52.284840542265,86.3126927734875,62,"3"
"69",14,300.448400219756,1848.82647166872,1774.63199235548,1925.44436409114,1862,"4"
"70",14,161.794907956183,196.172339021119,171.663550413375,223.356794127747,178,"5"
"71",15,450.58489415036,12073.9769621792,11882.5976044901,12267.7907348746,11997,"1"
"72",15,248.92071159306,999.734257616273,945.570981032309,1056.32053121844,1032,"2"
"73",15,83.1048802443547,49.2306325466147,37.1453493390816,64.1630880433555,64,"3"
"74",15,303.30433602609,1909.84339557944,1834.41361157374,1987.71499354539,1861,"4"
"75",15,151.976056113598,177.980264016425,153.874029919992,204.918202434335,174,"5"
"76",16,448.729573395315,11843.3698208683,11654.3156489932,12034.8406851159,12029,"1"
"77",16,257.266994982221,1027.78066717648,971.737483657973,1086.35253215271,1069,"2"
"78",16,98.3183230198643,54.1092490094643,40.4538785438993,70.9420040039418,71,"3"
"79",16,298.735551862052,1927.63898129507,1851.19335656747,2006.56067349904,1861,"4"
"80",16,144.106887990753,195.979125110664,167.863985391783,227.637434019636,173,"5"
"81",17,447.864295003423,11966.0169273746,11775.1429231434,12159.32942648,11872,"1"
"82",17,245.006338080327,1047.25717035999,990.706752144426,1106.3293955799,1031,"2"
"83",17,80.0315491517174,69.9945413652078,54.3593827374572,89.013910032408,66,"3"
"84",17,314.601000054418,1887.49818967498,1812.2163313689,1965.23416269427,1884,"4"
"85",17,140.060188343846,184.439688219356,161.005099866116,210.458672529119,183,"5"
"86",18,465.114688429752,11784.288601978,11596.2454507191,11974.7353024341,11988,"1"
"87",18,268.133637015346,1026.27878143199,969.234964210916,1085.9820767264,975,"2"
"88",18,90.2271562971764,52.6010946934634,39.4044824273445,68.9516796518393,65,"3"
"89",18,301.793083455775,1806.45113251696,1726.38092592599,1889.38576964649,1852,"4"
"90",18,146.360638118979,184.936670062171,161.105432209702,211.457734432053,187,"5"
"91",19,465.511758488551,11940.0471871702,11750.457452757,12132.0519221708,11886,"1"
"92",19,266.867337855226,1118.90745896083,1023.13481507167,1221.13131074041,997,"2"
"93",19,90.0980020264327,68.874923179544,51.8145663919665,89.8585651732392,56,"3"
"94",19,308.8165954666,1900.46021407027,1825.05949940285,1978.30170563565,1840,"4"
"95",19,160.184805618327,216.415827892283,187.07418407475,249.257407376562,191,"5"
"96",20,436.205346251681,11867.5808445763,11675.0382327681,12062.6652158229,11969,"1"
"97",20,262.922082599172,1032.44913676746,967.906351860111,1100.25327704554,1054,"2"
"98",20,71.4567390633162,70.2731361435604,53.3231572223792,91.067925553707,56,"3"
"99",20,306.640994814528,1929.98306380743,1853.21171213931,2009.25736218246,1852,"4"
"100",20,142.66264257305,173.596017146166,150.427288450253,199.445654449755,167,"5"
"101",21,450.623647029844,11936.2907710292,11745.4448154772,12129.5796925126,11958,"1"
"102",21,255.714100846507,1005.14279455243,950.23247898465,1062.52284688786,1028,"2"
"103",21,77.304573694778,64.1258130312588,48.0868855396693,83.9136721807494,58,"3"
"104",21,301.814475617991,1903.78781283622,1827.85292969348,1982.19263235104,1782,"4"
"105",21,142.897851596,188.047577146117,164.355425263458,214.346892254841,177,"5"
"106",22,443.358008140448,11945.1816817569,11745.304983626,12147.7262613649,12070,"1"
"107",22,249.433089705733,1014.85028052514,959.450756034109,1072.74017719021,1029,"2"
"108",22,80.5963233822977,64.9213893628859,49.8498817243758,83.4011124164659,71,"3"
"109",22,290.581235194333,1830.9258454124,1756.37740412765,1907.99123488941,1865,"4"
"110",22,144.923366136082,241.195525732017,188.177058526772,304.539663855463,186,"5"
"111",23,467.112255063042,11920.23158831,11729.6128748701,12113.2995126972,11750,"1"
"112",23,253.647549456085,962.550390875028,907.627593279233,1020.04782894132,1112,"2"
"113",23,74.2491936729754,55.2869318181884,38.6931365274105,76.8511865775791,81,"3"
"114",23,308.756872583029,1871.66609998369,1796.41477995075,1949.38058346705,1815,"4"
"115",23,143.990245250536,188.874922675594,163.430199142094,217.311520164087,181,"5"
"116",24,458.551465990763,11630.0807292478,11411.7024517794,11851.6596533797,11977,"1"
"117",24,262.240113883703,993.536787554442,939.303080892608,1050.20098968867,982,"2"
"118",24,73.5039839808694,95.8675496688728,59.3056036869751,147.613361653029,69,"3"
"119",24,299.838335293837,1886.28339717247,1810.72884205005,1964.30334860204,1854,"4"
"120",24,160.147309429627,200.113160165189,157.117308963304,251.462180309087,189,"5"
"121",25,480.647206014478,11864.6696179222,11675.3579173034,12056.4009394879,12039,"1"
"122",25,235.412826182803,978.967989183512,924.986581379043,1035.39025513383,1001,"2"
"123",25,85.5854858159367,71.2784967930277,54.7467381980657,91.5755819155281,59,"3"
"124",25,299.272716476251,1897.90841433868,1821.86596281361,1976.45176788609,1828,"4"
"125",25,159.635228617736,184.89822603414,161.439262320746,210.942943717017,173,"5"
"126",26,461.999246412851,11956.7541583159,11766.2268493371,12149.716855202,11706,"1"
"127",26,269.475161439571,1041.95389317063,985.98203532682,1100.41411968202,1017,"2"
"128",26,91.9421990742601,66.4398911194095,51.2400645349691,84.8315203394468,54,"3"
