iteration,aic,estimate,lower_ci,upper_ci,ground,group,corr,obf,pct_diff
1,434.0177569,34735.58389,34081.69149,35401.39214,35287,Female,FALSE,FALSE,1.562660784
1,451.6384936,53621.96837,52832.66647,54422.54181,52841,Male,FALSE,FALSE,-1.47795911
1,181.015069,574.6640609,499.5430554,660.4622241,579,Asian/PI,FALSE,FALSE,0.748866848
1,272.926287,4968.005948,4719.53038,5229.097526,4786,Black,FALSE,FALSE,-3.802882326
1,326.6928154,8821.724481,8504.504282,9150.22562,8694,Hispanic,FALSE,FALSE,-1.469110666
1,206.6258441,1053.805996,944.7862318,1174.831764,984,Other,FALSE,FALSE,-7.094105265
1,510.4675746,73058.57666,72140.45161,73987.85141,73316,White,FALSE,FALSE,0.351114814
1,135.2099651,231.9939031,186.5412535,287.8698173,232,1_10,FALSE,FALSE,0.002627984
1,249.2917531,2314.455917,2158.270574,2481.37321,2370,11_20,FALSE,FALSE,2.34363219
1,399.0215265,24123.81437,23601.93594,24656.69423,24422,21_30,FALSE,FALSE,1.220971365
1,396.2741461,23898.99242,23380.40474,24428.53942,24020,31_40,FALSE,FALSE,0.503778418
1,365.3499778,16778.29553,16346.76732,17220.66313,17122,41_50,FALSE,FALSE,2.00738507
1,357.1737339,13483.4089,13076.38463,13902.48256,13713,51_60,FALSE,FALSE,1.674258745
1,306.0292577,4355.37966,4138.277211,4583.321574,4665,61_70,FALSE,FALSE,6.63709196
1,226.9235624,1080.036258,974.2169242,1196.830593,1155,71_80,FALSE,FALSE,6.490367285
1,158.7797377,609.1220007,522.0309554,710.3363256,521,81_90,FALSE,FALSE,-16.91401165
1,80.24493279,54.69620598,34.78949655,85.17058418,58,91_100,FALSE,FALSE,5.696196591
1,481.2651277,87309.12208,86305.63271,88323.76096,87689,base,FALSE,FALSE,0.43321046
1,417.7835934,35224.65225,34588.09587,35872.39001,35399,Female,FALSE,TRUE,0.492521693
1,448.0012584,53163.36067,52371.95614,53966.17985,53071,Male,FALSE,TRUE,-0.174032274
1,215.2849862,601.1907109,520.1269478,694.4727452,580,Asian/PI,FALSE,TRUE,-3.653570837
1,376.3178591,4744.760895,4470.027965,5035.434412,4822,Black,FALSE,TRUE,1.601806406
1,417.3895712,9272.38572,8905.040374,9654.487161,8784,Hispanic,FALSE,TRUE,-5.559946724
1,250.8323342,987.8598179,886.4822167,1100.334849,1006,Other,FALSE,TRUE,1.803199013
1,628.5577259,73268.32364,72336.93076,74211.2129,72686,White,FALSE,TRUE,-0.801149662
1,169.9875235,286.2748507,232.2598613,352.4831358,262,1_10,FALSE,TRUE,-9.265210193
1,293.3272594,2462.872661,2297.073894,2640.110284,2357,11_20,FALSE,TRUE,-4.49183969
1,484.8115391,24495.85258,23957.73084,25045.57223,24220,21_30,FALSE,TRUE,-1.138945408
1,526.2005893,24174.03987,23646.58204,24712.74655,24249,31_40,FALSE,TRUE,0.30912667
1,513.0739019,17259.16529,16691.47717,17844.86599,17331,41_50,FALSE,TRUE,0.414486821
1,525.0884778,13603.41395,13208.81225,14009.28703,13669,51_60,FALSE,TRUE,0.479815973
1,361.107357,4502.766575,4277.315127,4739.600246,4501,61_70,FALSE,TRUE,-0.039248497
1,265.7169505,1272.809299,1111.955788,1456.338045,1158,71_80,FALSE,TRUE,-9.914447214
1,214.3773953,578.0274485,493.741391,676.3658567,543,81_90,FALSE,TRUE,-6.450727155
1,130.9178259,59.95418031,41.69540492,85.56806847,64,91_100,FALSE,TRUE,6.321593267
1,523.8296003,87228.36344,86231.54708,88236.16186,88133,base,FALSE,TRUE,1.026444763
1,680.2437682,1990.269099,1928.552049,2053.741248,1966,Female,TRUE,FALSE,-1.23444045
1,714.4760335,2893.779293,2817.399643,2971.990126,2935,Male,TRUE,FALSE,1.404453391
1,406.5042568,29.60493676,25.16526395,34.72397021,24,Asian/PI,TRUE,FALSE,-23.35390316
1,545.4837929,291.173017,270.8073681,312.8808654,301,Black,TRUE,FALSE,3.264778405
1,576.2276148,545.7603997,515.1280609,578.0131021,474,Hispanic,TRUE,FALSE,-15.13932484
1,434.6999591,51.52989681,45.2328105,58.59859292,53,Other,TRUE,FALSE,2.773779613
1,711.5581276,4029.878721,3942.292187,4119.196175,4000,White,TRUE,FALSE,-0.746968036
1,356.2274526,15.65276649,12.65796531,19.25500294,18,1_10,TRUE,FALSE,13.04018618
1,498.0266739,124.0606655,111.347835,138.0498816,127,11_20,TRUE,FALSE,2.314436584
1,645.0955448,1335.749939,1283.967732,1389.376248,1265,21_30,TRUE,FALSE,-5.592880528
1,655.4422842,1359.831613,1309.014791,1412.399913,1356,31_40,TRUE,FALSE,-0.28256733
1,634.3097604,987.641791,944.5042552,1032.528652,895,41_50,TRUE,FALSE,-10.3510381
1,607.7810963,757.3074379,719.7676035,796.5832504,784,51_60,TRUE,FALSE,3.404663535
1,555.5795098,240.8068382,222.7835932,260.13169,250,61_70,TRUE,FALSE,3.677264725
1,458.8128146,64.80612464,57.4683981,72.97055675,73,71_80,TRUE,FALSE,11.22448679
1,400.4024263,30.87896548,26.51711052,35.85833649,31,81_90,TRUE,FALSE,0.390433926
1,253.0072615,4.0911858,2.490958799,6.499894753,3,91_100,TRUE,FALSE,-36.37286001
1,738.6199649,4858.986487,4759.457449,4960.357455,4892,base,TRUE,FALSE,0.674846945
1,680.8406135,2006.475393,1944.258943,2070.460929,1932,Female,TRUE,TRUE,-3.854834017
1,699.2044132,2907.069093,2833.023431,2982.835506,2879,Male,TRUE,TRUE,-0.974959822
1,391.7620646,32.05632009,27.48092642,37.28858324,34,Asian/PI,TRUE,TRUE,5.716705605
1,551.3009378,279.3272672,258.5284226,301.6178135,264,Black,TRUE,TRUE,-5.80578304
1,599.7226644,501.3787757,472.5398949,531.7919731,497,Hispanic,TRUE,TRUE,-0.881041384
1,447.7401724,56.93947807,49.67499217,65.15057003,63,Other,TRUE,TRUE,9.619876082
1,716.2092158,4030.256493,3939.644792,4122.712077,3986,White,TRUE,TRUE,-1.110298366
1,447.7458638,15.16735505,11.71671219,19.49811279,12,1_10,TRUE,TRUE,-26.39462542
1,509.184025,123.7254532,111.1925423,137.5177283,150,11_20,TRUE,TRUE,17.51636457
1,643.9285822,1347.242747,1296.829556,1399.395961,1380,21_30,TRUE,TRUE,2.373713987
1,646.3060957,1318.589738,1269.142208,1369.747867,1399,31_40,TRUE,TRUE,5.747695629
1,619.5895394,911.6422385,870.9531841,954.0177967,961,41_50,TRUE,TRUE,5.136083402
1,617.8990829,751.3686746,714.0505366,790.4162257,774,51_60,TRUE,TRUE,2.923943847
1,555.6047368,268.8015787,249.3096957,289.640994,257,61_70,TRUE,TRUE,-4.592053955
1,445.6352223,60.1735819,53.07169116,68.09063766,56,71_80,TRUE,TRUE,-7.452824814
1,403.5076986,29.88740559,25.67647587,34.69254384,26,81_90,TRUE,TRUE,-14.95155997
